Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
59,https://www.basketball-reference.com/players/b/bradlav01.html,Avery Bradley,SG,25,https://www.basketball-reference.com/teams/BOS/2016.html,BOS,76,2536,13.2,.538,.399,.121,2.0,7.3,4.6,9.8,2.2,0.6,9.2,19.8,2.0,2.8,4.8,.090,-0.4,0.3,-0.1,,1.2
60,https://www.basketball-reference.com/players/b/brandel01.html,Elton Brand,C,36,https://www.basketball-reference.com/teams/PHI/2016.html,PHI,17,225,11.4,.461,.014,.125,4.2,27.0,15.2,13.1,2.0,2.7,12.6,16.9,-0.1,0.3,0.2,.036,-4.7,1.3,-3.4,-3.4,-0.1
61,https://www.basketball-reference.com/players/b/breweco01.html,Corey Brewer,SF,29,https://www.basketball-reference.com/teams/HOU/2016.html,HOU,82,1669,9.9,.481,.406,.254,2.8,10.4,6.6,10.0,2.5,0.9,11.3,17.8,0.1,1.2,1.2,.035,-2.7,-0.3,-2.9,,-0.4
62,https://www.basketball-reference.com/players/b/brookaa01.html,Aaron Brooks,PG,31,https://www.basketball-reference.com/teams/CHI/2016.html,CHI,69,1108,11.8,.494,.394,.136,2.0,7.5,4.8,26.0,1.4,0.7,14.2,22.9,0.2,0.7,0.9,.040,-1.3,-1.3,-2.6,,-0.2
63,https://www.basketball-reference.com/players/b/brownan02.html,Anthony Brown,SF,23,https://www.basketball-reference.com/teams/LAL/2016.html,LAL,29,599,4.9,.427,.556,.159,1.6,11.3,6.3,4.8,1.2,0.7,10.0,11.0,-0.4,0.1,-0.3,-0.024,-4.5,-1.0,-5.5,-5.5,-0.5
64,https://www.basketball-reference.com/players/b/brownlo01.html,Lorenzo Brown,PG,25,https://www.basketball-reference.com/teams/PHO/2016.html,PHO,8,61,4.4,.374,.320,.160,0.0,12.8,6.2,28.0,2.4,1.3,25.2,24.9,-0.3,0.1,-0.2,-0.157,-6.5,-1.9,-8.4,-8.4,-0.1
65,https://www.basketball-reference.com/players/b/brownma02.html,Markel Brown,SG,24,https://www.basketball-reference.com/teams/BRK/2016.html,BRK,62,982,11.3,.500,.376,.292,2.6,11.5,7.0,13.9,2.0,1.2,12.9,18.9,0.2,0.4,0.6,.031,-2.1,-0.8,-3.0,,-0.3
66,https://www.basketball-reference.com/players/b/bryanko01.html,Kobe Bryant,SF,37,https://www.basketball-reference.com/teams/LAL/2016.html,LAL,66,1863,14.9,.469,.420,.252,2.3,12.3,7.1,19.1,1.7,0.5,9.4,32.2,-0.9,0.5,-0.4,-0.010,0.9,-2.4,-1.6,,0.2
67,https://www.basketball-reference.com/players/b/budinch01.html,Chase Budinger,SF,27,,,66,929,10.7,.514,.360,.234,5.0,12.6,8.8,10.2,1.7,0.9,14.3,14.5,0.4,1.0,1.4,.073,-1.8,0.5,-1.3,,0.2
67,https://www.basketball-reference.com/players/b/budinch01.html,Chase Budinger,SF,27,https://www.basketball-reference.com/teams/IND/2016.html,IND,49,729,11.1,.502,.356,.247,4.7,13.4,9.1,9.9,2.0,1.0,12.6,14.9,0.3,1.0,1.3,.084,-1.7,0.9,-0.7,-0.7,0.2
67,https://www.basketball-reference.com/players/b/budinch01.html,Chase Budinger,SF,27,https://www.basketball-reference.com/teams/PHO/2016.html,PHO,17,200,9.2,.567,.378,.178,6.4,9.4,7.9,11.4,0.7,0.4,21.1,13.1,0.1,0.0,0.1,.034,-2.2,-1.1,-3.4,-3.4,-0.1
68,https://www.basketball-reference.com/players/b/bullore01.html,Reggie Bullock,SF,24,https://www.basketball-reference.com/teams/DET/2016.html,DET,37,429,12.0,.583,.541,.153,3.4,14.3,8.6,9.2,1.2,0.4,7.1,11.4,0.8,0.4,1.2,.134,0.1,0.7,0.8,0.8,0.3
69,https://www.basketball-reference.com/players/b/burketr01.html,Trey Burke,PG,23,https://www.basketball-reference.com/teams/UTA/2016.html,UTA,64,1366,14.0,.507,.404,.129,1.5,8.0,4.8,19.7,1.4,0.4,10.7,25.3,0.9,1.2,2.1,.074,0.7,-1.2,-0.5,,0.5
70,https://www.basketball-reference.com/players/b/burksal01.html,Alec Burks,SG,24,https://www.basketball-reference.com/teams/UTA/2016.html,UTA,31,797,14.3,.520,.237,.422,2.4,13.6,8.0,13.9,1.2,0.4,11.4,25.9,0.7,0.8,1.5,.090,0.2,-0.6,-0.4,-0.4,0.3
71,https://www.basketball-reference.com/players/b/butleca01.html,Caron Butler,SF,35,https://www.basketball-reference.com/teams/SAC/2016.html,SAC,17,176,11.3,.490,.305,.203,3.1,10.4,6.8,8.3,2.5,0.5,4.5,16.2,0.1,0.1,0.3,.071,-2.5,0.6,-1.8,-1.8,0.0
72,https://www.basketball-reference.com/players/b/butleji01.html,Jimmy Butler,SG,26,https://www.basketball-reference.com/teams/CHI/2016.html,CHI,67,2474,21.3,.562,.198,.459,3.4,11.6,7.6,21.4,2.2,1.3,9.6,24.4,6.5,2.7,9.1,.177,3.2,1.2,4.4,,3.9
73,https://www.basketball-reference.com/players/b/butlera01.html,Rasual Butler,SF,36,https://www.basketball-reference.com/teams/SAS/2016.html,SAS,46,432,13.4,.558,.471,.154,0.8,13.5,7.4,7.7,1.5,4.1,6.7,12.6,0.4,0.9,1.3,.146,0.4,2.5,2.9,2.9,0.5
74,https://www.basketball-reference.com/players/c/cabocbr01.html,Bruno Caboclo,SF,20,https://www.basketball-reference.com/teams/TOR/2016.html,TOR,6,43,-7.7,.125,.583,.000,2.7,2.6,2.7,3.2,2.4,1.9,25.0,16.9,-0.3,0.0,-0.3,-0.283,-14.0,-3.6,-17.6,-17.6,-0.2
75,https://www.basketball-reference.com/players/c/caldejo01.html,José Calderón,PG,34,https://www.basketball-reference.com/teams/NYK/2016.html,NYK,72,2024,12.3,.571,.446,.105,1.2,11.0,6.2,22.3,1.6,0.3,15.4,12.6,2.7,1.4,4.0,.096,-0.8,0.1,-0.6,,0.7
76,https://www.basketball-reference.com/players/c/caldwke01.html,Kentavious Caldwell-Pope,SG,22,https://www.basketball-reference.com/teams/DET/2016.html,DET,76,2789,12.4,.521,.384,.238,2.6,8.6,5.5,7.8,2.0,0.5,9.0,18.2,2.6,2.7,5.3,.092,-1.1,0.8,-0.3,,1.2
77,https://www.basketball-reference.com/players/c/canaais01.html,Isaiah Canaan,SG,24,https://www.basketball-reference.com/teams/PHI/2016.html,PHI,77,1966,11.1,.528,.672,.249,1.1,8.8,4.8,11.3,1.4,0.5,10.2,19.9,0.9,0.5,1.4,.035,-0.8,-1.6,-2.4,,-0.2
78,https://www.basketball-reference.com/players/c/capelca01.html,Clint Capela,C,21,https://www.basketball-reference.com/teams/HOU/2016.html,HOU,77,1471,18.3,.553,.003,.531,14.4,22.7,18.5,5.1,2.0,5.2,10.9,16.1,2.4,2.0,4.4,.144,-0.3,-0.1,-0.4,,0.6
