Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
105,https://www.basketball-reference.com/players/c/crawfja01.html,Jamal Crawford,SG,33,https://www.basketball-reference.com/teams/LAC/2014.html,LAC,69,2094,17.3,.556,.441,.318,1.9,6.4,4.2,17.4,1.4,0.4,10.5,27.2,3.8,1.5,5.3,.122,3.0,-1.4,1.6,,1.9
106,https://www.basketball-reference.com/players/c/crawfjo02.html,Jordan Crawford,SG-PG,25,,,81,1859,14.3,.516,.362,.214,1.7,9.5,5.5,25.1,1.3,0.2,13.4,23.7,1.5,1.4,2.8,.073,0.6,-1.2,-0.6,,0.6
106,https://www.basketball-reference.com/players/c/crawfjo02.html,Jordan Crawford,PG,25,https://www.basketball-reference.com/teams/BOS/2014.html,BOS,39,1198,15.7,.525,.345,.277,1.7,10.0,5.7,31.0,1.5,0.2,14.1,22.0,1.7,0.7,2.4,.096,1.5,-1.0,0.5,,0.8
106,https://www.basketball-reference.com/players/c/crawfjo02.html,Jordan Crawford,SG,25,https://www.basketball-reference.com/teams/GSW/2014.html,GSW,42,661,11.9,.503,.384,.129,1.7,8.6,5.2,14.2,1.0,0.2,12.4,26.8,-0.2,0.7,0.4,.033,-1.1,-1.5,-2.7,-2.7,-0.1
107,https://www.basketball-reference.com/players/c/crowdja01.html,Jae Crowder,SF,23,https://www.basketball-reference.com/teams/DAL/2014.html,DAL,78,1254,11.9,.551,.510,.206,4.3,13.5,8.9,6.7,2.4,1.4,11.3,13.2,1.2,1.1,2.3,.089,-0.7,0.8,0.2,,0.7
108,https://www.basketball-reference.com/players/c/cunnida01.html,Dante Cunningham,PF,26,https://www.basketball-reference.com/teams/MIN/2014.html,MIN,81,1635,12.6,.474,.010,.132,7.3,14.9,11.0,7.7,1.9,2.7,7.2,15.1,0.9,2.0,2.9,.085,-1.7,0.9,-0.8,,0.5
109,https://www.basketball-reference.com/players/c/cunnija01.html,Jared Cunningham,SG,22,,,13,80,8.5,.464,.333,.762,1.4,7.2,4.3,14.4,1.9,0.0,6.7,16.6,0.1,0.0,0.1,.075,-5.1,1.1,-4.1,-4.1,0.0
109,https://www.basketball-reference.com/players/c/cunnija01.html,Jared Cunningham,SG,22,https://www.basketball-reference.com/teams/ATL/2014.html,ATL,5,22,-1.8,.347,.500,1.000,0.0,5.2,2.6,18.8,0.0,0.0,41.0,10.1,-0.1,0.0,-0.1,-0.110,-9.0,-2.4,-11.4,-11.4,-0.1
109,https://www.basketball-reference.com/players/c/cunnija01.html,Jared Cunningham,SG,22,https://www.basketball-reference.com/teams/SAC/2014.html,SAC,8,58,12.4,.477,.316,.737,1.9,7.9,4.9,12.7,2.6,0.0,0.0,19.1,0.1,0.0,0.2,.145,-3.7,2.4,-1.3,-1.3,0.0
110,https://www.basketball-reference.com/players/c/curryse01.html,Seth Curry,PG,23,,,2,13,13.8,.500,.333,.000,0.0,8.8,4.3,0.0,7.9,0.0,0.0,10.3,0.0,0.0,0.0,.131,-2.5,7.1,4.7,4.7,0.0
110,https://www.basketball-reference.com/players/c/curryse01.html,Seth Curry,PG,23,https://www.basketball-reference.com/teams/MEM/2014.html,MEM,1,4,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.006,-7.3,0.7,-6.6,-6.6,0.0
110,https://www.basketball-reference.com/players/c/curryse01.html,Seth Curry,PG,23,https://www.basketball-reference.com/teams/CLE/2014.html,CLE,1,9,19.9,.500,.333,.000,0.0,12.8,6.2,0.0,11.5,0.0,0.0,14.9,0.0,0.0,0.0,.187,-0.3,10.0,9.7,9.7,0.0
111,https://www.basketball-reference.com/players/c/curryst01.html,Stephen Curry,PG,25,https://www.basketball-reference.com/teams/GSW/2014.html,GSW,78,2846,24.1,.610,.445,.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,9.3,4.0,13.4,.225,6.3,1.1,7.4,,6.7
112,https://www.basketball-reference.com/players/d/dalemsa01.html,Samuel Dalembert,C,32,https://www.basketball-reference.com/teams/DAL/2014.html,DAL,80,1614,16.8,.605,.003,.363,14.4,24.2,19.4,3.4,1.3,4.8,17.1,14.8,2.9,2.1,4.9,.147,-0.9,0.1,-0.8,,0.5
113,https://www.basketball-reference.com/players/d/danietr01.html,Troy Daniels,SG,22,https://www.basketball-reference.com/teams/HOU/2014.html,HOU,5,75,16.0,.677,.806,.000,0.0,5.6,3.0,11.4,0.0,0.0,8.8,19.9,0.2,0.0,0.2,.150,3.7,-3.3,0.4,0.4,0.0
114,https://www.basketball-reference.com/players/d/datomlu01.html,Gigi Datome,SF,26,https://www.basketball-reference.com/teams/DET/2014.html,DET,34,238,8.0,.409,.402,.103,6.1,15.5,10.6,7.0,1.3,0.3,9.8,20.2,-0.2,0.1,-0.1,-0.023,-3.7,-2.3,-6.0,-6.0,-0.2
115,https://www.basketball-reference.com/players/d/daviebr01.html,Brandon Davies,PF,22,https://www.basketball-reference.com/teams/PHI/2014.html,PHI,51,575,7.5,.476,.078,.414,6.9,13.9,10.2,7.1,2.0,1.1,18.8,13.7,-0.3,0.4,0.1,.008,-5.7,-0.6,-6.3,-6.3,-0.6
116,https://www.basketball-reference.com/players/d/davisan02.html,Anthony Davis,PF,20,https://www.basketball-reference.com/teams/NOP/2014.html,NOP,67,2358,26.5,.582,.009,.438,10.0,23.3,16.6,8.0,2.0,6.7,8.3,25.2,7.2,3.2,10.4,.212,4.0,0.8,4.8,,4.0
