Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
65,"Chris Wright, GS",24,7.8,.597,5.7,11.3,14.5,11.6,15.8,13.7,18.60,18.60,21.7,0.7,http://insider.espn.go.com/nba/players/hollinger?playerId=6501,Chris Wright
66,"Joe Johnson, ATL",60,35.5,.557,17.0,8.5,23.0,3.0,9.2,6.1,18.50,18.50,253.9,8.5,http://insider.espn.go.com/nba/players/hollinger?playerId=1007,Joe Johnson
67,"Brandon Jennings, MIL",66,35.3,.514,21.0,8.4,24.9,2.3,8.6,5.3,18.46,18.46,259.4,8.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3997,Brandon Jennings
68,"Marc Gasol, MEM",65,36.5,.541,16.9,10.0,18.1,5.8,23.1,14.3,18.41,18.41,276.3,9.2,http://insider.espn.go.com/nba/players/hollinger?playerId=3206,Marc Gasol
69,"Carl Landry, NO",41,24.4,.577,7.0,11.7,21.5,9.5,15.9,12.8,18.31,18.31,101.5,3.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3217,Carl Landry
70,"Jerome Adolphus Jordan, NY",21,5.1,.562,9.2,4.6,14.8,14.8,14.1,14.4,18.30,18.30,12.4,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=4280,Jerome Adolphus Jordan
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
71,"Vernon Macklin, DET",23,5.9,.559,10.2,6.1,13.9,12.0,18.3,15.0,18.25,18.25,15.0,0.5,http://insider.espn.go.com/nba/players/hollinger?playerId=6455,Vernon Macklin
72,"Spencer Hawes, PHI",37,24.9,.517,19.8,11.1,19.1,9.4,23.3,16.3,18.19,18.19,104.2,3.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3211,Spencer Hawes
73,"Elton Brand, PHI",60,28.9,.521,12.2,8.2,17.2,9.2,18.3,13.7,18.07,18.07,169.9,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=91,Elton Brand
74,"Nate Robinson, GS",51,23.4,.534,27.5,8.9,22.8,1.4,8.1,4.8,18.05,18.05,125.5,4.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2782,Nate Robinson
75,"Goran Dragic, HOU",66,26.5,.567,29.5,13.2,21.7,3.5,7.7,5.6,18.03,18.03,183.9,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3423,Goran Dragic
76,"Andrea Bargnani, TOR",31,33.3,.538,8.8,10.0,25.8,2.8,16.6,9.8,18.00,18.00,114.0,3.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2987,Andrea Bargnani
77,"Kris Humphries, NJ",62,34.9,.539,9.0,11.9,17.6,12.2,24.8,18.3,17.98,17.98,209.0,7.0,http://insider.espn.go.com/nba/players/hollinger?playerId=2433,Kris Humphries
78,"Jarrett Jack, NO",45,34.0,.540,27.4,10.2,23.0,1.8,11.7,6.8,17.97,17.97,159.1,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2768,Jarrett Jack
79,"Zach Randolph, MEM",28,26.3,.500,11.7,9.7,20.7,12.1,23.9,17.9,17.96,17.96,70.8,2.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1017,Zach Randolph
80,"Rudy Gay, MEM",65,37.3,.521,9.9,10.8,23.1,6.1,14.1,10.1,17.85,17.85,265.6,8.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3005,Rudy Gay
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
81,"David West, IND",66,29.2,.531,13.6,9.1,19.5,6.9,18.3,12.6,17.84,17.84,182.2,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2177,David West
